1.50294E+18,1000000,8/17/17,17395.16667,date,,balance,date,balance,,
1.51097E+18,540140.2178,,,11/18/17,541160.7398,1082321.48,11/18/17,1082321.48,,
1.51116E+18,585415.3232,,,11/18/17,540140.2178,1080280.436,11/18/17,1080280.436,,
1.51118E+18,584645.7274,,,11/20/17,585415.3232,1170830.646,11/20/17,1170830.646,,
1.51118E+18,587098.7863,,,11/20/17,584645.7274,1169291.455,11/20/17,1169291.455,,
1.51119E+18,588017.1235,,,11/20/17,587098.7863,1174197.573,11/20/17,1174197.573,,
1.51119E+18,589769.7689,,,11/20/17,588017.1235,1176034.247,11/20/17,1176034.247,,
1.51119E+18,589524.1712,,,11/20/17,589769.7689,1179539.538,11/20/17,1179539.538,,
1.51124E+18,585668.1664,,,11/20/17,589524.1712,1179048.342,11/20/17,1179048.342,,
1.51125E+18,586452.4081,,,11/21/17,585668.1664,1171336.333,11/21/17,1171336.333,,
1.51125E+18,587787.5237,,,11/21/17,586452.4081,1172904.816,11/21/17,1172904.816,,
1.51131E+18,586769.8837,,,11/21/17,587787.5237,1175575.047,11/21/17,1175575.047,,
1.51132E+18,583129.7504,,,11/21/17,586769.8837,1173539.767,11/21/17,1173539.767,,
1.5118E+18,737991.533,,,11/22/17,583129.7504,1166259.501,11/22/17,1166259.501,,
1.51181E+18,741984.5616,,,11/27/17,737991.533,1475983.066,11/27/17,1475983.066,,
1.51181E+18,740822.2078,,,11/27/17,741984.5616,1483969.123,11/27/17,1483969.123,,
1.51181E+18,738696.5139,,,11/27/17,740822.2078,1481644.416,11/27/17,1481644.416,,
1.51183E+18,740924.1264,,,11/27/17,738696.5139,1477393.028,11/27/17,1477393.028,,
1.51183E+18,740955.6378,,,11/28/17,740924.1264,1481848.253,11/28/17,1481848.253,,
1.51187E+18,730343.3767,,,11/28/17,740955.6378,1481911.276,11/28/17,1481911.276,,
1.51187E+18,725784.0578,,,11/28/17,730343.3767,1460686.753,11/28/17,1460686.753,,
1.51187E+18,728219.3825,,,11/28/17,725784.0578,1451568.116,11/28/17,1451568.116,,
1.51187E+18,721887.076,,,11/28/17,728219.3825,1456438.765,11/28/17,1456438.765,,
